City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,sibu,MY,2021-01-16 19:03:47,2.3,111.8167,73.4,100,40,2.3
263,la asuncion,VE,2021-01-16 19:03:47,11.0333,-63.8628,79.79,74,100,15.61
264,opelousas,US,2021-01-16 18:59:20,30.5335,-92.0815,51.01,43,1,4.61
265,munxar,MT,2021-01-16 19:03:47,36.0307,14.2348,53.01,93,75,6.91
266,abbeville,FR,2021-01-16 19:03:47,50.1,1.8333,37.99,66,100,12.59
267,byron bay,AU,2021-01-16 19:03:47,-28.65,153.6167,64.4,88,4,3.44
268,fortuna,US,2021-01-16 19:03:48,40.5982,-124.1573,59.0,100,1,6.91
269,shalya,RU,2021-01-16 19:03:48,57.2471,58.7298,11.32,95,100,11.45
270,port lincoln,AU,2021-01-16 19:03:48,-34.7333,135.8667,59.99,82,64,8.86
271,lakhnadon,IN,2021-01-16 19:03:48,22.6,79.6,57.7,35,0,1.48
272,ghanzi,BW,2021-01-16 19:03:48,-21.5667,21.7833,80.53,52,100,2.28
273,alofi,NU,2021-01-16 19:00:13,-19.0595,-169.9187,73.4,100,34,2.3
274,princeton,US,2021-01-16 19:03:48,25.5384,-80.4089,73.4,31,40,19.57
275,buchanan,LR,2021-01-16 19:03:48,5.8808,-10.0467,82.4,83,20,4.61
276,khatanga,RU,2021-01-16 19:03:48,71.9667,102.5,-25.37,85,94,5.82
277,nanortalik,GL,2021-01-16 19:03:48,60.1432,-45.2371,21.13,94,0,6.11
278,kodiak,US,2021-01-16 19:03:19,57.79,-152.4072,39.2,93,90,29.93
279,redlands,US,2021-01-16 19:02:33,34.0556,-117.1825,82.4,12,40,4.61
280,qui nhon,VN,2021-01-16 19:03:48,13.7667,109.2333,68.99,84,31,8.52
281,tura,IN,2021-01-16 19:03:48,25.5198,90.2201,56.79,56,0,2.93
282,arraial do cabo,BR,2021-01-16 19:00:11,-22.9661,-42.0278,87.8,61,20,13.8
283,chernoyerkovskaya,RU,2021-01-16 19:03:49,45.4331,37.7686,23.0,80,100,26.84
284,clovis,US,2021-01-16 19:02:42,36.8252,-119.7029,59.0,82,40,3.44
285,north charleston,US,2021-01-16 19:03:49,32.8886,-80.0075,52.0,37,75,23.02
286,kyshtovka,RU,2021-01-16 19:03:49,56.555,76.6271,6.94,92,100,9.26
287,grand baie,MU,2021-01-16 19:03:49,-20.0182,57.5802,81.0,82,19,5.99
